symbol,sig_id,time,entry_price,obi_dir,tps,window,entropy,signal_duration_s,exit_reason,mfe_intra,t1s,t5s,t10s,t30s,t60s,t120s,t300s,t600s,t1200s,t1800s
ETHUSDT,1,07:44:04,2031.285,buy,18.6,300,0.6098,1.4,entropy_normalized,0.0002,0.0002,-0.0185,-0.0249,-0.0313,-0.0741,-0.019,-0.2036,-0.0982,-0.2429,-0.2759
ETHUSDT,2,07:44:11,2031.065,sell,23.1,300,0.5754,9.3,entropy_normalized,0.0229,-0.0002,0.0224,0.017,0.019,0.0854,0.0037,0.2144,0.0992,0.2262,0.2651
ETHUSDT,3,07:45:11,2029.335,sell,23.6,300,0.4999,6.5,entropy_normalized,0.0071,-0.0002,0.0017,-0.019,-0.0717,-0.0816,-0.0116,0.1151,-0.014,0.1427,0.0811
ETHUSDT,4,07:47:16,2028.685,buy,15.8,300,0.4999,11.7,entropy_normalized,0.0007,-0.0002,-0.0067,0.0002,-0.0071,-0.0431,-0.0969,-0.018,-0.0441,-0.1767,0.0707
BTCUSDT,1,07:47:17,74591.595,sell,17.6,300,0.6098,6.9,entropy_normalized,0.0,0.0,-0.0002,-0.0059,-0.0059,0.0326,0.0742,0.0909,0.1462,0.216,0.0442
ETHUSDT,5,07:47:59,2027.415,sell,19.4,300,0.7285,0.7,entropy_normalized,0.0002,0.0002,-0.0254,-0.0249,-0.0185,-0.019,0.0155,-0.0649,-0.016,0.1206,-0.1147
ETHUSDT,6,07:49:07,2026.715,sell,23.4,300,0.6014,10.7,entropy_normalized,0.0002,-0.0002,-0.0002,-0.0002,0.0121,-0.0136,-0.0417,-0.1275,0.0377,0.1206,-0.09
BTCUSDT,2,07:49:13,74536.255,buy,14.0,300,0.6944,5.3,entropy_normalized,0.0,-0.0,0.0,0.0068,0.0002,-0.002,-0.0142,-0.013,-0.134,-0.1308,-0.0178
BTCUSDT,3,07:49:48,74548.005,sell,19.7,300,0.7351,1.4,entropy_normalized,0.0,0.0,0.0,0.0078,0.0185,0.0429,0.0417,0.0376,0.1742,0.1539,0.0657
ETHUSDT,7,07:51:23,2028.455,buy,15.8,300,0.7084,2.1,entropy_normalized,0.0002,-0.0002,-0.0205,-0.0308,-0.0106,0.0131,0.0071,-0.0865,-0.1871,-0.1432,-0.1122
BTCUSDT,4,07:52:26,74534.985,sell,11.5,300,0.65,3.0,entropy_normalized,-0.0,-0.0,-0.0,0.0,-0.0,0.0113,0.015,0.0535,0.1466,0.1103,0.1462
ETHUSDT,8,07:57:03,2028.245,buy,15.9,300,0.6263,3.0,entropy_normalized,0.0027,0.0027,-0.0313,-0.0367,0.0002,-0.0402,-0.1127,-0.1802,-0.2073,0.0466,-0.404
ETHUSDT,9,07:58:37,2026.615,buy,11.1,300,0.6653,2.4,entropy_normalized,-0.0002,-0.0002,-0.0002,-0.0299,-0.0328,-0.0767,-0.1636,-0.0141,-0.0915,0.1004,-0.3417
